REPORTING_YEAR,FACILITY_NAME,GHGRP_ID,REPORTED_ADDRESS,lat,long,CITY_NAME,COUNTY_NAME,STATE,ZIP_CODE,PARENT_COMPANIES,ghg_quantity,SUBPARTS
2011,Mint Farm Generation Station,1001435,1200 Prudential Blvd,46.1403,-122.9842,Longview,COWLITZ COUNTY,WA,98632,Puget Sound Energy (100%),277605,D
2011,Hamm Sanitary Landfill,1005117,16984 3rd Street,38.97313,-95.235888,LAWRENCE,DOUGLAS COUNTY,KS,66044,"SUMMIT MATERIALS, LLC (100%)",277568,"C,HH"
2011,Procter & Gamble Company - Ivorydale,1000186,5201 SPRING GROVE AVE,39.1756,-84.5022,CINCINNATI,Hamilton,OH,45217,The Procter & Gamble Company (81.3%); DUKE ENERGY CORP (18.7%),277513,C
2011,BLACK HILLS CORPORATION - BEN FRENCH POWER PLANT,1006217,409 DEADWOOD AVENUE,44.0874,-103.2627,RAPID CITY,PENNINGTON,SD,57702,BLACK HILLS CORP (100%),277195,C
2011,Whitewater Cogeneration Facility,1001292,111 COUNTY HWY U,42.8543,-88.7297,WHITEWATER,Jefferson,WI,53190,"LSP-WHITEWATER, LP (100%)",277129,"C,D"
2011,BPXA GATHERING CENTER #3,1001875,,70.283916,-148.683501,Prudhoe Bay,NORTH SLOPE,AK,99734,"EXXONMOBIL CORP (36.4%); ConocoPhillips Alaska, Inc. (36.1%); BP AMERICA INC (26.4%); Chevron USA, Inc. (1.2%)",276786,C
2011,"WestRock CP, LLC - Florence Mill",1000319,7320 PAPER MILL ROAD,34.1519,-79.5587,FLORENCE,Florence,SC,29501,Rock-Tenn Company (100%),276367,"AA,C,TT"
2011,MCCARTY ROAD LANDFILL TX,1006899,5757 OATES RD,29.82204,-95.24071,HOUSTON,HARRIS COUNTY,TX,77078,"Republic Services, Inc. (100%)",276175,HH
2011,"Calpine King City Cogen, LLC",1000597,750 Metz Road,36.2257,-121.1279,King City,MONTEREY,CA,93930,CALPINE CORP (100%),275719,C
2011,RIO BRAVO POSO,1005088,16608 PORTERVILLE HIGHWAY,35.547408,-119.07522,BAKERSFIELD,KERN,CA,93308,Rio Bravo Poso (100%),275544,C
2011,Whitewater Valley,1005667,2000 U.S. 27 South,39.8028,-84.8953,RICHMOND,Wayne,IN,47374,City of Richmond (100%),275322,D
2011,North American Stainless,1002977,6870 Highway 42 East,38.727778,-85.072222,Ghent,CARROLL COUNTY,KY,41045,NORTH AMERICAN STAINLESS (100%),275064,"C,Q"
2011,KIAC Cogeneration,1001268,JFK AIRPORT BUILDING 49,40.6417,-73.7778,JAMAICA,Queens,NY,11430,CALPINE CORP (100%),274960,D
2011,"EOG Resources, Inc. 360 Anadarko basin",1008352,1111 Bagby St. Sky Lobby 2,29.75894,-95.37096,Houston,HARRIS COUNTY,TX,77002,"EOG RESOURCES, INC (100%)",274657,W
2011,"WestRock CP, LLC - Panama City Mill (Formerly RockTenn)",1006958,ONE EVERITT AVENUE,30.142433,-85.620566,PANAMA CITY,BAY,FL,32401,Rock-Tenn Company (100%),274495,"AA,C,TT"
2011,GOLDSMITH GAS PLANT,1006800,,31.9809,-102.6344,GOLDSMITH,ECTOR,TX,79741,CONOCO PHILLIPS (50%); SPECTRA ENERGY CORP (50%),274463,"C,W"
2011,"APEX ENVIRONMENTAL, LLC - SANITARY LANDFILL (0641000223)",1006777,11 COUNTY ROAD 78,40.432403,-80.911512,AMSTERDAM,JEFFERSON,OH,43903,"ENVIRONMENTAL LOGISTICS SERVICES, LLC (100%)",273995,"C,HH"
2011,Port Inland Plant,1002725,181 W County Road 432,45.969109,-85.983939,Gulliver,SCHOOLCRAFT,MI,49840,,273750,"C,S"
2011,Graymont Western Lime GREEN BAY,1002724,101 JAMES ST,44.52438,-88.01261,GREEN BAY,BROWN COUNTY,WI,54303,,273473,"C,S"
2011,Holland Energy Facility,1000792,2061 East 000 North Road,39.2242,-88.7594,BEECHER CITY,Shelby,IL,62414,HOOSIER ENERGY REC INC (50%); WABASH VALLEY POWER (50%),272787,"C,D"
2011,AMERICAN SYNTHETIC RUBBER,1006919,4500 CAMPGROUND ROAD,38.209317,-85.847511,LOUISVILLE,JEFFERSON,KY,40216,"MICHELIN NORTH AMERICA, INC (100%)",271960,C
2011,UNIVERSITY OF ILLINOIS,1001893,354 ADMINISTRATION BUILDING,40.08532,-88.24146,CHAMPAIGN,CHAMPAIGN,IL,61820,Board of Trustees (100%),271689,C
2011,AUSTIN WHITE LIME COMPANY MCNEIL PLANT & QUARRY,1007346,14001 MCNEIL ROAD,30.45407,-97.72091,AUSTIN,TRAVIS COUNTY,TX,78728,AUSTIN WHITE LIME CO (100%),271238,"C,S"
2011,"AMERICAN CEMENT COMPANY, LLC",1003883,4750 EAST COUNTY ROAD 470,28.760864,-82.025353,SUMTERVILLE,SUMTER,FL,33585,"Oldcastle Materials, Inc. (50%); Natural Resources of Central Florida, Inc. (40%); CJM of Florida, LLC (10%)",270970,H
2011,Malburg Generating Station,1007318,2715 WEST 50TH ST,33.9983,-118.2219,VERNON,Los Angeles,CA,90058,BICENT (California) POWER LLC (100%),270791,D
2011,"Barrick Goldstrike Mines, Inc.",1002877,,40.981115,-116.37644,Carlin,EUREKA,NV,89822,BARRICK GOLD CORP (100%),270439,C
2011,B L England,1000732,900 NORTH SHORE ROAD,39.29,-74.6339,MARMORA,Cape May,NJ,8223,"RC CAPE MAY HOLDINGS, LLC (100%)",269694,"C,D"
2011,"Aruba Petroleum, Inc. 420 Fort Worth Syncline",1008356,"555 Republic Dr., Suite 505",33.03064,-96.70539,Plano,COLLIN COUNTY,TX,75074,"Aruba Petroleum, Inc. (100%)",269168,W
2011,Consumers Energy Company,1004527,One Energy Plaza,42.24668,-84.40311,Jackson,JACKSON COUNTY,MI,49201,CMS ENERGY CORP (100%),268963,"NN,W"
